from,to,relation,time
8,15,1,2018
8,15,1,2019
8,16,1,2019
8,16,1,2016
8,16,1,2016
8,16,1,2019
8,16,1,2019
8,17,1,2019
8,17,1,2018
8,17,1,2019
8,19,1,2018
8,19,1,2018
8,20,1,2019
8,20,1,2018
8,24,1,2016
8,26,1,2016
8,28,1,2018
8,28,1,2015
8,28,1,2017
8,28,1,2017
8,29,2,2019
8,29,1,2018
8,30,1,2017
8,30,1,2017
8,30,1,2016
8,31,1,2016
8,31,1,2017
8,31,1,2017
8,31,1,2018
8,33,1,2018
8,33,1,2018
8,34,1,2016
8,34,1,2018
8,34,2,2019
8,34,2,2019
8,34,1,2016
9,11,1,2020
9,11,1,2019
9,11,1,2019
9,12,1,2017
9,13,2,2016
9,13,1,2017
9,13,1,2019
9,13,1,2019
9,13,1,2019
9,15,1,2019
9,16,1,2017
9,16,1,2019
9,16,1,2019
9,18,2,2019
9,19,1,2017
9,19,1,2019
9,20,1,2019
9,20,1,2020
9,20,1,2019
9,20,1,2019
9,20,1,2019
9,23,1,2017
9,23,2,2018
9,24,1,2019
9,24,1,2017
9,24,2,2018
9,25,1,2019
9,28,1,2016
9,28,1,2016
9,28,1,2016
9,28,1,2016
9,28,1,2016
9,28,1,2017
9,28,1,2018
9,28,1,2018
9,29,1,2019
9,29,1,2017
9,30,1,2016
9,30,1,2016
9,30,1,2016
9,30,1,2019
9,30,1,2019
9,30,1,2017
9,30,1,2015
9,34,1,2018
9,34,1,2016
9,34,1,2017
9,34,1,2016
9,34,1,2018
9,34,1,2018
9,34,1,2018
9,34,1,2019
9,34,1,2019
9,35,1,2019
9,35,1,2015
9,33,2,n/a
9,35,2,2015
9,33,1,2015
9,33,1,2016
9,33,1,2017
9,33,1,2018
9,35,1,2016
9,35,1,2016
9,35,1,2016
9,35,1,2016
9,35,1,2016
9,35,1,2017
9,35,1,2019
10,20,1,2019
10,20,1,2020
10,22,1,2019
10,22,1,2019
10,27,1,2019
10,27,1,2020
10,27,1,2020
10,33,3,2018
10,29,2,n/a
10,29,1,2020
10,34,2,n/a
11,13,1,2018
11,13,4,2020
11,15,1,2017
11,15,1,2017
11,15,1,2018
11,17,1,2017
11,17,1,2017
11,18,1,2018
11,18,1,2018
11,19,1,2017
11,19,1,2018
11,20,1,2019
11,20,1,2019
11,20,1,2017
11,21,1,2018
11,21,1,2017
11,25,1,2015
11,25,1,2017
11,25,1,2019
11,26,1,2016
11,26,1,2018
11,28,1,2018
11,28,1,2017
11,28,1,2018
11,29,1,2018
11,29,1,2017
11,29,1,2017
11,29,1,2018
11,29,1,2020
11,30,1,2018
11,30,1,2018
11,31,1,2015
11,32,4,2020
11,33,1,2018
11,33,1,2015
11,34,1,2017
11,34,1,2017
11,34,1,2017
11,34,1,2018
11,34,1,2018
11,35,1,2015
12,13,1,2018
12,14,4,2020
12,15,1,2016
12,15,1,2017
12,15,1,2018
12,15,1,2018
12,15,1,2019
12,15,1,2018
12,15,1,2016
12,16,1,2016
12,16,1,2016
12,17,1,2017
12,17,1,2018
18,12,1,2018
12,19,3,2016
12,19,1,2018
12,19,1,2017
12,19,1,2018
12,19,1,2018
12,19,1,2018
12,19,1,2018
12,19,1,2018
12,19,1,2018
12,20,4,2020
12,20,1,2016
12,20,1,2018
12,20,1,2018
12,20,1,2017
12,20,1,2017
12,20,1,2018
12,22,1,2018
12,23,1,2018
12,23,1,2018
12,23,1,2017
12,23,1,2018
12,23,1,2018
12,23,1,2016
12,24,1,2020
12,24,1,2017
12,24,1,2018
12,24,1,2018
12,25,2,2017
12,25,1,2019
12,26,1,2016
12,26,1,2018
12,26,1,2018
12,28,1,2017
12,28,1,2016
12,28,1,2016
12,28,1,2016
12,28,1,2017
12,29,4,2020
12,29,1,2018
12,29,1,2018
12,29,1,2017
12,29,1,2017
12,29,1,2019
12,30,1,2016
12,30,1,2017
12,30,1,2019
12,31,1,2016
12,31,1,2016
12,31,1,2016
12,31,1,2016
12,31,1,2017
12,31,1,2017
12,31,1,2018
12,33,1,2018
12,33,1,2018
12,33,1,2018
12,34,4,2020
12,34,1,2019
12,34,1,2017
12,34,1,2019
12,34,1,2018
12,34,1,2016
12,34,1,2016
12,34,1,2016
12,35,1,2016
12,35,1,2018
12,35,1,2018
12,35,1,2018
12,35,1,2017
12,35,1,2016
12,35,1,2015
12,35,1,2016
12,35,1,2017
13,15,1,2019
13,15,1,2017
13,15,1,2017
13,15,1,2017
13,15,1,2017
13,15,1,2016
13,15,1,2016
13,15,1,2016
13,15,1,2016
13,15,1,2017
13,15,1,2018
13,16,1,2016
13,16,1,2016
13,17,2,2019
13,17,1,2017
13,17,1,2017
13,17,1,2016
13,17,1,2016
13,17,1,2016
13,17,1,2017
13,18,1,2019
13,19,2,n/a
13,19,3,2018
13,19,1,2018
13,19,1,2018
13,19,1,2018
13,20,1,2019
13,20,1,2019
13,20,1,2019
13,20,1,2018
13,20,1,2018
13,21,1,2018
13,22,1,2019
13,22,1,2019
13,23,1,2016
13,23,1,2018
13,24,1,2018
13,24,1,2018
13,24,1,2017
13,24,1,2015
13,24,1,2019
13,25,1,2019
13,25,1,2019
13,25,1,2019
13,26,1,2018
13,26,1,2018
13,28,1,2016
13,28,1,2018
13,28,1,2018
13,29,1,2018
13,29,1,2017
13,29,1,2017
13,29,1,2018
13,29,1,2020
13,30,1,2019
13,30,1,2019
13,30,1,2019
13,31,1,2017
13,33,1,2018
13,33,2,2016
13,34,1,2019
13,34,1,2019
13,34,1,2017
13,34,1,2017
13,34,1,2017
13,34,1,2016
13,34,1,2018
13,35,1,2018
13,35,1,2015
13,35,1,2018
14,20,4,2020
14,21,1,2018
14,22,1,2019
14,24,1,2018
14,26,1,2018
14,27,1,2019
14,28,1,2017
14,28,1,2018
14,28,1,2019
14,29,1,2018
14,29,4,2020
14,32,1,2019
14,33,1,2019
14,34,1,2016
14,34,1,2018
14,34,4,2020
15,17,1,2016
15,17,1,2017
15,17,1,2017
15,17,1,2017
15,17,1,2017
15,17,1,2018
15,17,1,2018
15,17,1,2019
15,18,1,2018
15,19,1,2018
15,20,1,2017
15,20,1,2017
15,20,1,2018
15,20,1,2018
15,20,1,2018
15,20,1,2018
15,20,1,2019
15,20,1,2019
15,21,1,2016
15,21,1,2018
15,21,1,2018
15,22,3,2019
15,22,1,2019
15,23,3,2017
15,23,1,2017
15,24,1,2017
15,24,1,2018
15,25,1,2017
15,26,1,2018
15,26,1,2018
15,26,1,2018
15,27,1,2019
15,27,1,2019
15,27,1,2020
15,27,3,2020
15,29,1,2017
15,29,1,2018
15,29,1,2018
15,29,3,2018
15,29,1,2018
15,30,1,2017
15,31,1,2016
15,31,1,2016
15,31,1,2017
15,31,1,2017
15,31,1,2018
15,32,1,2016
15,34,3,2015
15,34,1,2016
15,34,1,2017
15,34,3,2017
15,34,1,2017
15,34,1,2017
15,34,1,2018
15,34,1,2018
15,34,1,2019
16,17,1,2017
16,17,1,2019
16,19,1,2015
16,19,1,2017
16,20,1,2019
16,20,1,2019
16,20,1,2019
16,20,1,2019
16,21,1,2017
16,22,1,2019
16,23,1,2015
16,23,1,2015
16,23,1,2015
16,23,1,2016
16,23,1,2017
16,23,1,2017
16,23,1,2017
16,24,1,2016
16,24,1,2016
16,24,1,2016
16,24,1,2017
16,24,1,2019
16,25,1,2019
16,26,1,2015
16,26,1,2015
16,26,1,2015
16,26,1,2016
16,27,1,2019
16,28,1,2016
16,28,1,2016
16,29,1,2019
16,30,1,2015
16,30,1,2015
16,30,1,2015
16,30,1,2017
16,31,1,2016
16,31,1,2016
16,31,1,2016
16,33,1,2015
16,33,1,2015
16,33,1,2015
16,33,1,2017
16,33,1,2017
16,34,1,2016
16,34,1,2016
16,34,1,2017
16,34,1,2019
16,34,1,2019
16,35,1,2016
16,35,1,2017
17,18,1,2018
17,18,1,2018
17,19,3,2016
17,20,1,2017
17,20,1,2017
17,20,1,2017
17,20,1,2018
17,20,1,2019
17,20,1,2019
17,21,1,2017
17,21,1,2018
17,22,1,2019
17,22,1,2019
17,23,1,2017
17,23,1,2018
17,23,1,2018
17,23,1,2018
17,24,1,2018
17,24,1,2018
17,24,1,2018
17,25,1,2017
17,25,1,2017
17,25,1,2019
17,25,1,2019
17,26,1,2018
17,27,1,2020
17,27,1,2020
17,28,1,2016
17,28,3,2016
17,28,1,2016
17,28,1,2016
17,28,1,2017
17,28,1,2017
17,28,1,2018
17,28,4,2017
17,29,1,2018
17,29,1,2019
17,30,1,2016
17,30,1,2017
17,31,1,2017
17,31,1,2017
17,31,1,2018
17,33,1,2017
17,34,1,2016
17,34,3,2016
17,34,1,2017
17,34,3,2017
17,34,1,2017
17,34,1,2018
17,34,1,2016
17,34,1,2016
17,34,1,2016
17,34,1,2017
17,34,1,2017
17,34,1,2018
17,34,1,2018
17,34,1,2019
18,19,4,2019
18,20,1,2019
18,23,1,2018
18,23,1,2018
18,23,1,2018
18,24,1,2018
18,24,1,2018
18,25,1,2018
18,25,1,2019
18,26,1,2018
18,28,1,2018
18,28,1,2018
18,29,1,2017
18,33,1,2018
18,34,1,2018
19,20,1,2018
19,20,1,2018
19,20,1,2018
19,23,1,2015
19,23,1,2017
19,23,1,2018
19,23,1,2018
19,23,1,2018
19,23,1,2018
19,24,1,2017
19,24,1,2018
19,24,1,2018
19,26,1,2015
19,26,1,2015
19,26,1,2018
19,26,1,2019
19,28,1,2015
19,28,1,2015
19,28,3,2016
19,28,1,2017
19,28,1,2017
19,28,1,2017
19,29,1,2018
19,30,1,2015
19,30,1,2015
19,30,1,2015
19,30,1,2015
19,30,1,2015
19,30,1,2015
19,30,1,2017
19,30,3,2015
19,31,1,2017
19,33,2,n/a
19,33,1,2015
19,33,1,2017
19,33,1,2018
19,33,1,2018
19,33,1,2018
19,34,1,2017
19,34,3,2017
19,34,1,2017
19,34,1,2017
19,35,2,n/a
19,35,1,2015
19,35,1,2017
19,35,1,2017
19,35,1,2018
19,35,1,2018
19,35,3,2015
19,35,1,2015
19,35,1,2018
20,21,1,2018
20,23,1,2018
20,24,1,2017
20,25,1,2017
20,25,1,2017
20,25,1,2019
20,26,1,2018
20,26,1,2018
20,28,1,2017
20,28,1,2017
20,29,1,2017
20,29,1,2019
20,29,1,2019
20,29,3,2020
20,30,1,2017
20,30,1,2019
20,30,1,2019
20,31,1,2017
20,31,1,2018
20,34,1,2016
20,34,1,2017
20,34,1,2017
20,34,1,2018
20,34,1,2018
20,34,1,2018
20,34,1,2019
20,34,1,2019
20,34,3,2020
20,35,1,2015
20,35,1,2019
